N,JValue,Diamt

3,0.722467,0.00773515
4,0.722467,0.00773515
5,0.725991,0.00728181
6,0.722467,0.00773515
7,0.725991,0.00728181
8,0.722467,0.00773515
9,0.725991,0.00728181
10,0.725991,0.00728181
11,0.725991,0.00728181
12,0.722467,0.00773515
13,0.725991,0.00728181
14,0.725991,0.00728181
15,0.725991,0.00728181
16,0.722467,0.00773515
17,0.722467,0.00773515
18,0.722467,0.00773515
19,0.725991,0.00728181
20,0.722467,0.00773515
21,0.725991,0.00728181
22,0.725991,0.00728181
0,0,0 
24,0.743612,0.00501514
25,0.740088,0.00546847
26,0.750661,0.00410847
27,0.740088,0.00546847
28,0.740088,0.00546847
29,0.740088,0.00546847
30,0.743612,0.00501514
31,0.750661,0.00410847
32,0.743612,0.00501514
33,0.740088,0.00546847
34,0.740088,0.00546847
35,0.743612,0.00501514
36,0.743612,0.00501514
37,0.743612,0.00501514
38,0.743612,0.00501514
39,0.743612,0.00501514
40,0.743612,0.00501514
41,0.743612,0.00501514
42,0.743612,0.00501514
43,0.740088,0.00546847
0,0,0 
1,0.750661,0.00410847
2,0.747137,0.0045618
3,0.750661,0.00410847
4,0.750661,0.00410847
5,0.754185,0.00365513
6,0.750661,0.00410847
7,0.747137,0.0045618
8,0.754185,0.00365513
9,0.750661,0.00410847
10,0.754185,0.00365513
11,0.754185,0.00365513
12,0.747137,0.0045618
13,0.750661,0.00410847
14,0.750661,0.00410847
15,0.747137,0.0045618
16,0.747137,0.0045618
17,0.754185,0.00365513
18,0.754185,0.00365513
19,0.750661,0.00410847
20,0.754185,0.00365513

1,0.729515,0.00682848
2,0.73304,0.00637514
1,0.701322,0.0104552
2,0.725991,0.00728181
3,0.725991,0.00728181
4,0.718943,0.00818848
5,0.718943,0.00818848
6,0.722467,0.00773515
7,0.725991,0.00728181
8,0.697797,0.0109085
9,0.704846,0.0100018
10,0.725991,0.00728181
1,0.718943,0.00818848
1,0.722467,0.00773515
2,0.725991,0.00728181
3,0.690749,0.0118152
4,0.687225,0.0122685
5,0.722467,0.00773515
1,0.743612,0.00501514
2,0.715419,0.00864182
3,0.73304,0.00637514
4,0.740088,0.00546847
1,0.687225,0.0122685
1,0.722467,0.00773515
1,0.725991,0.00728181
1,0.754185,0.00365513
2,0.754185,0.00365513
3,0.659031,0.0158952
4,0.725991,0.00728181
5,0.715419,0.00864182
6,0.754185,0.00365513
7,0.754185,0.00365513
8,0.722467,0.00773515
9,0.704846,0.0100018
10,0.761233,0.00274846
11,0.722467,0.00773515
12,0.750661,0.00410847
13,0.725991,0.00728181
14,0.725991,0.00728181
1,0.722467,0.00773515
2,0.687225,0.0122685
3,0.750661,0.00410847
4,0.722467,0.00773515
5,0.659031,0.0158952
1,0.725991,0.00728181
2,0.687225,0.0122685
3,0.725991,0.00728181
4,0.722467,0.00773515
5,0.704846,0.0100018
6,0.722467,0.00773515
7,0.725991,0.00728181
8,0.725991,0.00728181
9,0.725991,0.00728181
10,0.725991,0.00728181
11,0.754185,0.00365513
