N,passt,voxel,plana,clust,cylin,total

0,0.091,0.192,0.031,0.000,0.000,0.503
1,0.078,0.171,0.054,0.387,0.087,0.965
2,0.071,0.170,0.049,0.370,0.081,0.911
3,0.079,0.171,0.055,0.414,0.227,1.132
4,0.072,0.170,0.054,0.419,0.060,0.946
5,0.079,0.169,0.054,0.376,0.107,0.971
6,0.072,0.172,0.049,0.379,0.091,0.934
7,0.079,0.171,0.049,0.356,0.062,0.904
8,0.071,0.172,0.054,0.427,0.071,0.966
9,0.079,0.171,0.050,0.366,0.071,0.924
10,0.072,0.172,0.049,0.383,0.064,0.910
11,0.080,0.174,0.049,0.324,0.060,0.874
12,0.071,0.170,0.054,0.357,0.077,0.899
13,0.083,0.169,0.049,0.337,0.065,0.890
14,0.071,0.171,0.048,0.280,0.061,0.802
15,0.079,0.168,0.044,0.281,0.053,0.811
16,0.071,0.170,0.048,0.261,0.051,0.771
17,0.081,0.175,0.044,0.261,0.049,0.797
18,0.071,0.172,0.044,0.247,0.043,0.747
19,0.081,0.173,0.044,0.251,0.047,0.784
20,0.080,0.179,0.044,0.245,0.045,0.764
21,0.080,0.174,0.044,0.234,0.053,0.773
22,0.071,0.173,0.044,0.226,0.045,0.730
23,0.080,0.173,0.044,0.196,0.058,0.738
24,0.072,0.175,0.044,0.199,0.044,0.707
25,0.080,0.174,0.044,0.183,0.046,0.713
26,0.071,0.175,0.044,0.181,0.073,0.716
27,0.080,0.176,0.044,0.184,0.050,0.721
28,0.071,0.174,0.044,0.161,0.067,0.689
29,0.080,0.187,0.044,0.172,0.068,0.738
30,0.089,0.174,0.039,0.163,0.053,0.690
31,0.084,0.177,0.044,0.175,0.047,0.714
32,0.071,0.173,0.044,0.170,0.041,0.671
33,0.080,0.175,0.045,0.148,0.045,0.679
34,0.072,0.175,0.040,0.149,0.044,0.650
35,0.080,0.176,0.040,0.117,0.041,0.640
36,0.071,0.176,0.045,0.130,0.063,0.655
37,0.101,0.183,0.130,0.559,4.558,5.722
38,0.072,0.178,0.040,0.128,0.042,0.631
39,0.080,0.177,0.040,0.110,0.039,0.633
40,0.071,0.176,0.040,0.114,0.041,0.612
41,0.080,0.177,0.040,0.111,0.041,0.635
42,0.071,0.177,0.040,0.102,0.049,0.609
43,0.082,0.183,0.040,0.097,0.041,0.630
44,0.074,0.188,0.041,0.087,0.096,0.660
45,0.080,0.178,0.040,0.082,0.063,0.630
46,0.072,0.186,0.040,0.081,0.040,0.591
47,0.081,0.178,0.040,0.073,0.038,0.597
48,0.072,0.180,0.050,0.060,0.066,0.599
49,0.081,0.179,0.040,0.057,0.042,0.589
50,0.072,0.179,0.040,0.050,0.039,0.552
51,0.081,0.180,0.036,0.044,0.037,0.566
52,0.073,0.183,0.036,0.041,0.057,0.564
53,0.084,0.188,0.036,0.044,0.041,0.590
54,0.072,0.182,0.035,0.034,0.044,0.541
55,0.081,0.181,0.036,0.024,0.054,0.564
56,0.072,0.183,0.036,0.022,0.039,0.523
57,0.081,0.185,0.036,0.022,0.063,0.574
58,0.072,0.183,0.036,0.018,0.054,0.534
59,0.081,0.201,0.036,0.015,0.042,0.563
60,0.072,0.183,0.036,0.010,0.053,0.524
61,0.081,0.185,0.036,0.007,0.038,0.535
62,0.073,0.187,0.036,0.007,0.044,0.523
63,0.081,0.185,0.036,0.015,0.049,0.554
64,0.072,0.185,0.036,0.016,0.061,0.540
65,0.094,0.183,0.036,0.015,0.061,0.586
66,0.072,0.187,0.048,0.139,3.013,3.629
67,0.096,0.184,0.036,0.012,0.036,0.560
68,0.073,0.183,0.036,0.009,0.034,0.506
69,0.082,0.183,0.036,0.005,0.041,0.535
70,0.072,0.184,0.036,0.003,0.033,0.499
71,0.082,0.188,0.036,0.001,0.033,0.526
72,0.072,0.184,0.031,0.000,0.000,0.458
73,0.081,0.177,0.050,0.249,0.069,0.816
74,0.071,0.183,0.045,0.222,0.066,0.758
75,0.080,0.177,0.045,0.186,0.078,0.751
76,0.071,0.174,0.045,0.169,0.072,0.702
77,0.080,0.177,0.045,0.154,0.063,0.710
78,0.072,0.177,0.045,0.128,0.045,0.638
79,0.080,0.176,0.040,0.116,0.053,0.653
80,0.072,0.177,0.040,0.116,0.054,0.629
81,0.080,0.177,0.040,0.100,0.060,0.645
82,0.072,0.177,0.040,0.107,0.047,0.615
83,0.081,0.186,0.040,0.094,0.079,0.669
84,0.073,0.179,0.040,0.100,0.044,0.612
85,0.081,0.180,0.040,0.081,0.046,0.615
86,0.073,0.179,0.040,0.084,0.044,0.592
87,0.082,0.183,0.041,0.076,0.056,0.625
88,0.072,0.180,0.041,0.061,0.054,0.577
89,0.097,0.181,0.041,0.063,0.056,0.632
90,0.073,0.182,0.041,0.049,0.088,0.604
91,0.081,0.181,0.036,0.042,0.095,0.649
92,0.072,0.183,0.036,0.035,0.069,0.567
93,0.081,0.183,0.036,0.024,0.059,0.570
94,0.072,0.185,0.036,0.019,0.036,0.518
95,0.081,0.186,0.039,0.023,0.046,0.563
96,0.072,0.183,0.036,0.013,0.039,0.513
97,0.081,0.193,0.036,0.010,0.037,0.546
98,0.072,0.185,0.036,0.005,0.035,0.505
99,0.081,0.184,0.036,0.008,0.046,0.579
100,0.072,0.193,0.036,0.005,0.038,0.516
101,0.081,0.185,0.031,0.002,0.031,0.517
102,0.071,0.177,0.045,0.163,0.083,0.710
103,0.081,0.180,0.040,0.135,0.062,0.688
104,0.073,0.181,0.040,0.108,0.129,0.706
105,0.081,0.178,0.040,0.106,0.059,0.652
