N,captr

0,2.112
1,1.490
2,1.436
3,1.448
4,1.451
5,1.410
6,1.445
7,1.424
8,1.428
9,1.463
10,1.417
11,1.403
12,1.432
13,1.453
14,1.407
15,1.438
16,1.412
17,1.403
18,1.425
19,1.401
20,1.426
21,1.404
22,1.402
23,1.436
24,1.403
25,1.400
26,1.421
27,1.401
28,1.400
29,1.433
30,1.409
31,1.404
32,1.435
33,1.402
34,1.400
35,1.431
36,1.404
37,1.445
38,1.415
39,1.450
40,1.427
41,1.410
42,1.435
43,1.403
44,1.410
45,1.436
46,1.408
47,1.408
48,1.421
49,1.397
50,1.422
51,1.402
52,1.407
53,1.446
54,1.405
55,1.408
56,1.438
57,1.406
58,1.407
59,1.457
60,1.405
61,1.404
62,1.428
63,1.429
64,1.409
65,1.401
66,1.444
67,1.405
68,1.414
69,1.443
70,1.417
71,1.457
72,1.409
73,1.447
74,1.423
75,1.422
76,1.450
77,1.419
78,1.414
79,1.440
80,1.426
81,1.415
82,1.436
83,1.408
84,1.421
85,1.441
86,1.409
87,1.405
88,1.432
89,1.405
90,1.410
91,1.435
92,1.402
93,1.402
94,1.429
95,1.403
96,1.403
97,1.446
98,1.407
99,1.406
100,1.432
101,1.405
102,1.429
103,1.405
104,1.408
105,1.398
106,1.441
107,1.402
108,1.420
109,1.398
110,1.401
111,1.442
112,1.406
113,1.398
114,1.419
115,1.400
116,1.396
117,1.400
118,1.424
119,1.405
120,1.405
121,1.444
122,1.400
123,1.414
124,1.429
125,1.398
126,1.429
127,1.411
128,1.406
129,1.409
130,1.420
131,1.402
132,1.421
133,1.402
134,1.407
135,1.435
136,1.407
137,1.397
138,1.443
139,1.407
140,1.410
141,1.443
142,1.404
143,1.438
144,1.407
145,1.406
146,1.407
147,1.431
148,1.402
149,1.396
150,1.405
151,1.455
152,1.411
153,1.413
154,1.439
0,1.858
1,1.270
2,1.231
3,1.211
4,1.230
5,1.203
6,1.215
7,1.228
8,1.211
9,1.232
10,1.219
11,1.210
12,1.208
13,1.232
14,1.197
